Datetime,Open,High,Low,Close,Volume
1628711400.0,1.86969,1.87085,1.87085,1.868352,199386.0696002
1628711460.0,1.870725,1.869913,1.8709,1.869152,4439.24118378
1628711520.0,1.869823,1.868962,1.869823,1.866316,119534.26615285
1628711580.0,1.868962,1.87,1.870532,1.868304,9292.82047207
1628711640.0,1.87,1.869437,1.871134,1.866966,29905.01244175
1628711700.0,1.868268,1.870649,1.871792,1.868179,3279.54451584
1628711760.0,1.870593,1.868408,1.871493,1.868149,10905.62193801
1628711820.0,1.868899,1.866679,1.869308,1.86611,38395.38726626
1628711880.0,1.866753,1.862008,1.866753,1.86028,12342.68513698
1628711940.0,1.862961,1.864398,1.867323,1.862447,43872.11276556
1628712000.0,1.864017,1.864117,1.864795,1.861671,37496.97673698
1628712060.0,1.864033,1.863572,1.864777,1.863383,32635.93035216
1628712120.0,1.864383,1.865588,1.865588,1.862485,41861.30296202
1628712180.0,1.864648,1.86906,1.86906,1.863856,44689.56269266
1628712240.0,1.86909,1.869931,1.870541,1.869003,9368.67204758
1628712300.0,1.870556,1.869448,1.870816,1.868198,6260.15081782
1628712360.0,1.868675,1.869317,1.869317,1.866902,21512.18333466
1628712420.0,1.869638,1.870484,1.870548,1.86906,8609.20995253
1628712480.0,1.870658,1.870385,1.870658,1.86963,730.71395031
1628712540.0,1.870384,1.868144,1.870386,1.868144,2559.77957467
1628712600.0,1.86951,1.868225,1.870297,1.868225,34213.55694814
1628712660.0,1.86996,1.870634,1.87117,1.86996,7405.87626568
1628712720.0,1.870634,1.871199,1.871199,1.870278,5940.70289602
1628712780.0,1.871053,1.876661,1.876679,1.87074,30026.20542677
1628712840.0,1.876555,1.876615,1.878465,1.876229,19676.87524729
1628712900.0,1.877858,1.881229,1.885,1.877858,228077.12024808
1628712960.0,1.881618,1.876311,1.882363,1.876311,55431.96005402
1628713020.0,1.876311,1.876354,1.876354,1.870689,77086.10920366
1628713080.0,1.875177,1.876187,1.876943,1.873925,15058.65558051
1628713140.0,1.875009,1.870919,1.875009,1.870919,14218.56930048
1628713200.0,1.871336,1.873305,1.874911,1.870328,12678.18991287
1628713260.0,1.874113,1.875153,1.875885,1.874113,33816.14096154
1628713320.0,1.875682,1.874122,1.875682,1.8731,10116.10908782
1628713380.0,1.874164,1.873624,1.875884,1.872004,46018.8073
1628713440.0,1.874084,1.874182,1.874688,1.87248,8869.3678765
1628713500.0,1.874158,1.873348,1.875,1.873348,16249.9829537
1628713560.0,1.873046,1.872484,1.873305,1.872413,1849.14371502
1628713620.0,1.872542,1.874075,1.875,1.872542,91129.39685418
1628713680.0,1.873375,1.872141,1.873375,1.872139,21113.10298014
1628713740.0,1.872601,1.869444,1.872601,1.869081,43627.99187933
1628713800.0,1.869527,1.864879,1.869527,1.8617,100381.5528329
1628713860.0,1.865551,1.862664,1.865551,1.861701,9177.14880059
1628713920.0,1.862686,1.863783,1.865211,1.862435,4497.40607598
1628713980.0,1.864392,1.866612,1.866649,1.864015,23772.25315806
1628714040.0,1.866648,1.866991,1.866991,1.866083,20892.34082669
1628714100.0,1.867139,1.867712,1.867712,1.866322,1834.32617143
1628714160.0,1.869114,1.867839,1.872008,1.867839,166050.05428485
1628714220.0,1.868337,1.868238,1.868476,1.866918,849.39090117
1628714280.0,1.867463,1.866919,1.867937,1.8665,7172.40007321
1628714340.0,1.868202,1.868242,1.869049,1.867118,3925.25773776
1628714400.0,1.868825,1.868332,1.86905,1.868027,6031.9942
1628714460.0,1.869328,1.866905,1.869362,1.86661,31723.81728033
1628714520.0,1.866905,1.8665,1.866933,1.8665,10122.16587929
1628714580.0,1.867169,1.868146,1.868472,1.8665,6053.7463752
1628714640.0,1.867372,1.867316,1.867372,1.867229,2476.85903108
1628714700.0,1.867229,1.86303,1.867261,1.86303,16336.2882861
1628714760.0,1.86303,1.86259,1.863307,1.861701,9422.1774
1628714820.0,1.863088,1.861702,1.864639,1.861702,4993.01210717
1628714880.0,1.8629,1.861265,1.8629,1.857002,200669.24420029
1628714940.0,1.860205,1.858649,1.860838,1.857657,84673.87121515
1628715000.0,1.857395,1.855576,1.859357,1.854923,14367.6159278
1628715060.0,1.856672,1.856669,1.858592,1.856669,13383.75141908
1628715120.0,1.856669,1.855737,1.85782,1.855601,29310.63166223
1628715180.0,1.855289,1.853071,1.855853,1.8525,15725.24250899
1628715240.0,1.853093,1.852042,1.853806,1.852042,20057.31225247
1628715300.0,1.852559,1.850557,1.853121,1.85,38727.38521451
1628715360.0,1.850551,1.850704,1.85149,1.85,3392.21790681
1628715420.0,1.85,1.849998,1.851313,1.849998,9677.80483732
1628715480.0,1.849998,1.850809,1.851551,1.849511,12050.96070195
1628715540.0,1.850263,1.848063,1.850263,1.847951,15075.38864133
1628715600.0,1.848139,1.845329,1.848139,1.845329,32269.6089478
1628715660.0,1.845329,1.841117,1.845329,1.8387,118249.07243883
1628715720.0,1.839287,1.83011,1.839287,1.829429,78943.02275253
1628715780.0,1.830494,1.824798,1.830494,1.824064,108287.57244069
1628715840.0,1.824798,1.807484,1.824923,1.801191,549677.85022471
1628715900.0,1.808284,1.796922,1.81,1.79629,186505.64643805
1628715960.0,1.797586,1.773673,1.797758,1.773,402443.03041316
1628716020.0,1.773429,1.799743,1.799743,1.770913,490004.77918104
1628716080.0,1.79957,1.81305,1.81305,1.79955,123720.69604481
1628716140.0,1.81305,1.811195,1.82309,1.811195,142344.93314468
1628716200.0,1.812121,1.806461,1.812121,1.795566,96115.76285456
1628716260.0,1.806143,1.799994,1.809789,1.799994,212974.60934797
1628716320.0,1.799986,1.802667,1.803417,1.798592,32740.78671445
1628716380.0,1.802667,1.808731,1.81,1.802667,78134.08294589
1628716440.0,1.807425,1.8102,1.8102,1.80664,145626.21961996
1628716500.0,1.8102,1.78935,1.810201,1.788857,111882.19245154
1628716560.0,1.78884,1.77493,1.78982,1.77493,262114.20616643
1628716620.0,1.77492,1.783775,1.785,1.767894,300180.22061726
1628716680.0,1.783861,1.784445,1.785474,1.782007,27487.6056907
1628716740.0,1.785474,1.776019,1.785994,1.774262,134421.09005268
1628716800.0,1.77576,1.785204,1.78694,1.77576,49579.35157078
1628716860.0,1.786954,1.796655,1.79964,1.786954,230439.58657003
1628716920.0,1.796566,1.794259,1.796938,1.791992,55445.89117934
1628716980.0,1.793847,1.788784,1.794454,1.78618,36091.80425729
1628717040.0,1.789313,1.786513,1.789313,1.785501,19188.8674261
1628717100.0,1.786341,1.790158,1.791701,1.786341,68694.72320912
1628717160.0,1.790001,1.798982,1.79944,1.789792,28718.86029527
